StationName,SiteCode,Latitude,Longitude,Datum
San Lorenzo Creek just upstream of Via Granada,204R05211,37.68601,-122.12263,NAD83
San Lorenzo Creek Near Senior Center,204SLO030,37.679582,-122.079507,NAD83
Ward Creek above Mission Blvd,204WAR100,37.66641,-122.07532,NAD83
Ward Creek approximately 200 m south of Industrial Pkwy W.,204R05287,37.61563,-122.07248,NAD83
Zeile Creek just below Jeep Trail,204R05551,37.64583,-122.0328,NAD83
Zone 5 Line J-2 upstream of Jean Dr. ,204R05619,37.57482,-122.07153,NAD83
Zone 6 Line G approx 150 m downstream of Valpey Park Ave. ,205R05302,37.51933,-121.97285,NAD83
"Big Canyon Cr, Line 7-J-1_BA_2012-204R00340",204R00340,37.70218,-121.92074,NAD83
Alameda Creek upstream of confluence with Arroyo de la Laguna,204ALA340,37.58755,-121.89123,WGS84
Arroyo del Valle upstream of S. Shore Trail footbridge,204ADV150,37.66858,-121.84517,WGS84
Arroyo Las Positas approx 250 m upstream of N. Vasco Rd,204ALP290,37.71292,-121.72123,WGS84
Rifle Range Branch of Arroyo Viejo approx. 1.2 km upstream of Campus Drive,204AVJ190,37.78309,-122.15203,WGS84
Tributary to Redwood Creek upstream of McDonald Staging Area,204ARE350,37.79805,-122.15083,WGS84
Arroyo de la Laguna 750m north of Bernal Ave,204R01380,37.66228,-121.90612,NAD83
Arroyo Mocho approximately 1km west of El Charro Rd. ,204R01023,37.69439,-121.85985,NAD83
Arroyo Valle 200m west of Isabel Ave,204R01663,37.65311,-121.80815,NAD83
Canada del Aliso west of Hunter Lane,205R00366,37.51303,-121.91541,NAD83
Crow Creek 100m north of E Castro Valley Blvd,204R00927,37.69547,-122.057,NAD83
Redwood Creek near intersection of Chown Trail and Stream Trail,204R01007,37.81503,-122.16083,NAD83
Tassajara Creek north of Dublin Blvd,204R01791,37.70613,-121.87855,NAD83
Zone 5 Line J-2 above Regents Blvd in Union City,204R01479,37.58221,-122.06487,NAD83
Zone 7 Line J-1 north of Dublin Blvd,204R01108,37.70689,-121.92705,NAD83
Arroyo Las Positas immediately downstream of I-580,204R00665,37.70302,-121.75944,NAD83
Arroyo Mocho just upstream of confluence with Arroyo de la Laguna,204R00292,37.67752,-121.9117,NAD83
Zone 3A Line N south of Industrial Parkway,204R01607,37.62546,-122.04984,NAD83
